id,source,title,link,publication_date,close_date,organization_name,organization_url,organization_description,description,salary_range,tags
100daecac43d,"80,000 Hours","Volunteer, AI Safety Quest",https://aisafety.quest/?utm_source=80000hours&utm_medium=job-board#volunteer,2026-07-24,,AI Safety Quest,https://aisafety.quest/,AI Safety Quest is a group of volunteers that aims to help new people more easily navigate the AI Safety ecosystem.,"In this role, you'll support AI Safety Quest's mission through volunteer contributions to the areas in which it most needs support. Operations, automation and tooling: You will own the systems that make Quest run. Volunteer operations lead: Own the human side of Quest, communicating with people who reach out to or volunteer with Quest. Coaching: Have between 2 to 6 30-45 minute calls a week with advisees.",Unpaid,"AI safety & policy; Volunteering; Outreach; Operations; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
17935edd53b7,"80,000 Hours; EA Opportunities Board","Infrastructure Engineer, Technical AI Safety",https://www.longtermresilience.org/technical-ai-safety-infrastructure-engineer/?utm_source=80000hours&utm_medium=job-board,2026-07-22,2026-08-03,Centre for Long-Term Resilience,https://www.longtermresilience.org/,The Centre for Long-Term Resilience is an independent think tank focused on global resilience to extreme risks. They currently focus on artificial intelligence and biosecurity.,"In this role, you'll maintain and scale infrastructure for the Loss of Control Observatory, a platform monitoring uncontrolled AI systems through data pipelines, classification systems, and dashboards. Refine Python data pipelines for collecting and processing social media data from multiple sources. Build GDPR-compliant storage systems and expand pipelines to new data sources including chatbot analysis. Maintain LLM-based classification systems with prompt engineering and evaluation frameworks.","£70,000 - £75,000","AI safety & policy; Full-time; Software engineering; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; London, UK; UK; Global; Remote; Part-time; Data; Operations; Collaborative problem-solving; Direct high impact on an important cause; Skill-building & building career capital"
19fce8af1803,"80,000 Hours",Research Fund,https://www.paradigm3.org/research/fund?utm_source=80000hours&utm_medium=job-board,2026-07-22,,Paradigm 3,https://www.paradigm3.org/,Paradigm 3 is a research organisation and grantmaker focused on the science of AI evals and on spiky processes.,"Paradigm 3 is funding research work on various areas. Estimate AI externalities—time lost to authentication and positive externalities like cost savings on services. Decompose benchmark gains into cheating, memorisation, shallow generalisation, and out-of-distribution generalisation. Research when slowing AI progress is desirable and technical requirements while avoiding power concentration. Evaluate AI systems via centaur evals on user helpfulness. Develop interaction models and guardian angels customised for individual users.",,"AI safety & policy; Funding; Research; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
fc81a219da30,"80,000 Hours","Course, The Future of AI",https://bluedot.org/courses/future-of-ai?utm_source=80000hours&utm_medium=job-board,2026-07-22,,BlueDot Impact,https://www.bluedotimpact.org/,"BlueDot Impact is a nonprofit that runs courses which aim to help participants develop the knowledge, community and network needed to pursue high-impact careers.","This course introduces what AI can do today, where it's heading, and how to contribute to a better future. Includes interactive demos letting you try cutting-edge AI systems directly in your browser. Connects you with a global community discussing AI's trajectory and impact. Offers a self-paced 2-hour experience with no prerequisites and a certificate upon completion.",,"AI safety & policy; Course; Other; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
8e5d3621b892,"80,000 Hours",Digital Media Accelerator,https://futureoflife.org/project/digital-media-accelerator/?utm_source=newsletter.futureoflife.org&utm_medium=newsletter&utm_campaign=future-of-life-institute-newsletter-one-big-beautiful-bill-banning-state-ai-laws&utm_source=80000hours&utm_medium=job-board,2026-07-22,,Future of Life Institute,https://www.futureoflife.org,"The Future of Life Institute is a nonprofit that works to reduce global catastrophic and existential risks facing humanity, particularly existential risk from advanced artificial intelligence.","The Digital Media Accelerator supports creators producing content that raises awareness about AI developments and issues, particularly regarding AI safety and risk. Potential projects include YouTube explainer videos about AI safety topics, TikTok accounts dedicated to daily AI news, newsletters explaining AI safety research papers, or podcast series on AGI progress and implications. Support is available for creators who already have a following and are interested in AI safety awareness, or those with compelling ideas for impactful content.",,"AI safety & policy; Funding; Outreach; Other; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
ebeab3286e47,"80,000 Hours; EA Opportunities Board",Software Engineer,https://apply.workable.com/futuresearch/j/00E7FC1B6F?utm_source=80000hours&utm_medium=job-board,2026-07-20,,FutureSearch,https://futuresearch.ai/,FutureSearch is a startup building AI systems that reason about the future reliably.,"In this role, you'll develop and improve forecasting and agentic LLM systems, owning end-to-end responsibility for design, deployment, monitoring and debugging. Ship product features and extend research pipelines within the FutureSearch application. Build prototypes using coding agents and LLM APIs, then harden them for production use. Own production backend systems, resolving performance issues and debugging real-world problems. Work with research teams to prototype new ideas and evaluate system improvements.","$125,000 - $225,000","Macrostrategy; Full-time; Software engineering; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; London, UK; UK; Global; USA; San Francisco Bay Area; New York, NY; Remote; AI safety & policy; Institutional decision-making; Research; Data; Collaborative problem-solving; Direct high impact on an important cause; Skill-building & building career capital"
5cb9d6573edb,"80,000 Hours; EA Opportunities Board",QA Contractor,https://apply.workable.com/futuresearch/j/9B377DCE6D?utm_source=80000hours&utm_medium=job-board,2026-07-20,,FutureSearch,https://futuresearch.ai/,FutureSearch is a startup building AI systems that reason about the future reliably.,"In this role, you'll quality-check evaluation tasks for AI model training and benchmarking, serving as the last independent reviewer before tasks reach formal review. Verify correct answers, supporting evidence, and scoring rubrics for accuracy and completeness. Identify and clearly articulate issues or problems with task design, answers, or evidence. Confirm claims by cross-referencing sources, checking academic papers, and tracking down original evidence. Communicate findings concisely to the team, judging what issues need escalation and which you can resolve independently.",$75 - $125 per hour,"Macrostrategy; Full-time; Operations; Undergraduate degree or less; Junior (1-4 years experience); Remote, Global; London, UK; UK; Global; USA; San Francisco Bay Area; Remote; Part-time; AI safety & policy; Global priorities research; Research; Communication; Forecasting; Direct high impact on an important cause; Testing your fit for a certain career path"
82cc3c8d2769,"80,000 Hours",List of Events for Career Capital,https://airtable.com/app53PsYpHxJW61l3/shrjyF9rqLVH2xdTR/tblBeumzf4BGqrc0z?utm_source=80000hours&utm_medium=job-board,2026-07-20,,Various Event Organisers,,,Performing impactful work on the world's top problems often requires knowing the people in the field. Conferences and other events are a great way to build this career capital and to dive into new areas of interest. This is a list of events for career capital related to our top problem areas.,,"Other policy-focused; Technical; Career development; Other; Research; Policy; Undergraduate degree or less; Entry-level; Various, Global; Global; Remote, Global; Remote"
2cad52c1f452,"80,000 Hours; Probably Good",Careers Fellowship,https://jewishsocialimpact.org/fellowship/?utm_source=80000hours&utm_medium=job-board,2026-07-17,2026-08-09,Jewish Social Impact Network,https://jewishsocialimpact.org/,"Jewish Social Impact Network is a global group of people inspired by Jewish tradition to help others as much as they can while deepening their connection to tradition, our community, and each other.","In this 8-week cohort-based fellowship, you'll align your career with Jewish values and evidence-based impact. Meet weekly with a small cohort and experienced facilitator to discuss and wrestle with career decisions. Work through readings and exercises exploring Jewish sources on obligation and frameworks for identifying high-impact work. Assess your own strengths, constraints, and options to develop an impact-oriented career strategy. Create a concrete career plan with a specific next step tailored to your current circumstances and goals.",,"Building effective altruism; Fellowship; Other; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote; Biosecurity; Animal Welfare; AI Safety & Policy; Global Health & Development; Operations; Data; Communications & Outreach; Policy; Software Engineering; Engineering; Undergraduate Degree or Less; Mid (5–9y); Senior (10y+); Junior (1–4y); Entry-Level"
bd216668c7d1,"80,000 Hours; Probably Good; EA Opportunities Board",Teacher,https://docs.google.com/document/d/1VbQCRnfhHKDKqcYQQB2hESul_-E-G6xmZQMcpYf5zj8/edit?tab=t.0&utm_source=80000hours&utm_medium=job-board#heading=h.ewt0qmeqot2d,2026-07-15,2026-08-08,Technical Alignment Research Accelerator,https://www.taraprogram.org/,The Technical Alignment Research Accelerator is a technical AI safety training program building technical AI safety skills for talent across the Asia-Pacific region by running in-person sessions covering ARENA 's curriculum.,"In this role, you'll guide 25–30 participants in a 14-week AI safety program by leading Saturday sessions and providing remote support. Lead weekly 1-hour lectures on advanced ML topics including RL, transformers, mechanistic interpretability, and model evaluation. Deliver 4pm Saturday sessions on AI safety ecosystems, risks, and current research. Provide pair programming support and asynchronous Slack help for technical problems and environment setup. Review project proposals and provide technical feedback during the final curriculum phase.",$80 AUD per hour,"AI safety & policy; Part-time; Other; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; Global; Remote; AI Safety & Policy; Operations; Data; Software Engineering; Undergraduate Degree or Less; Mid (5–9y); Junior (1–4y); Part-Time (<50% FTE); Research; Software engineering; Community building; Collaborative problem-solving; Direct high impact on an important cause; Skill-building & building career capital"
816844a98df4,"80,000 Hours",Research Fellowship,https://www.aialignmentfoundation.org/fellowship?utm_source=80000hours&utm_medium=job-board,2026-07-15,2026-08-17,AI Alignment Foundation,https://www.aialignmentfoundation.org/,The AI Alignment Foundation is a nonprofit accelerating neglected approaches to AI alignment. They fund original researchers and accelerate their work by pairing them with dedicated engineering teams and compute resources.,"In this role, you'll conduct independent AI alignment research projects at industry research speed. Work daily with a dedicated research manager for weekly prioritization, experiment tracking, and support. Collaborate with AE researchers to develop project direction and incorporate feedback. Produce publishable research outputs including LessWrong posts and peer-reviewed papers. Present your findings at Demo Day, either in-person in Los Angeles or remotely.","$12,000 stipend","AI safety & policy; Fellowship; Research; Software engineering; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
740f72b5f83e,"80,000 Hours; EA Opportunities Board",Research Scientist,https://apply.workable.com/futuresearch/j/CC8CA27FB4/?utm_source=80000hours&utm_medium=job-board,2026-07-15,,FutureSearch,https://futuresearch.ai/,FutureSearch is a startup building AI systems that reason about the future reliably.,"In this role, you'll evaluate and improve state-of-the-art forecasting and agentic LLM web research. Research modern LLM systems and their implications for AI epistemics. Devise innovative solutions to open problems in assessing LLM-generated information. Create benchmarks and datasets to evaluate AI system capabilities. Build and validate evaluations to test solution effectiveness.","$125,000 - $225,000","Macrostrategy; Full-time; Research; Undergraduate degree or less; Junior (1-4 years experience); Remote, Global; London, UK; UK; Global; USA; San Francisco Bay Area; Remote; AI safety & policy; Global priorities research; Academia; Data; Forecasting; Direct high impact on an important cause; Skill-building & building career capital"
5c990b6a592c,"80,000 Hours; EA Opportunities Board",Research Contractor,https://apply.workable.com/futuresearch/j/98A6E20ABA/?utm_source=80000hours&utm_medium=job-board,2026-07-15,,FutureSearch,https://futuresearch.ai/,FutureSearch is a startup building AI systems that reason about the future reliably.,"In this role, you'll support the development of tasks for training and benchmarking frontier AI models. Conduct meticulous research on information retrieval tasks such as finding claims in academic papers and cross-referencing financial documents. Leverage web research LLM tools effectively while staying calibrated on their strengths, weaknesses, and limitations. Communicate your reasoning and uncertainties clearly in both synchronous and asynchronous environments. Get up to speed quickly on new domains while maintaining awareness of your knowledge gaps.",$75 - $125 per hour,"Macrostrategy; Part-time; Research; Undergraduate degree or less; Junior (1-4 years experience); Remote, Global; London, UK; UK; Global; USA; San Francisco Bay Area; Remote; AI safety & policy; Communication; Data; Collaborative problem-solving; Skill-building & building career capital; Direct high impact on an important cause"
2e1eb3d32a46,"80,000 Hours",Project Incubator (2026),https://sentientfutures.ai/projectincubator/?utm_source=80000hours&utm_medium=job-board,2026-07-14,2026-08-09,Sentient Futures,https://www.sentientfutures.ai/,"Sentient Futures is a field-building organization working to steer the future for the welfare of all sentient beings. They run conferences, fellowships, and an online community.","This is a 10-week remote program pairing with a mentor to work on projects improving sentient welfare. Browse and select from mentors offering predefined or open projects, applying to up to three mentors. Develop a feasible project proposal addressing real needs in animal welfare, AI governance, or digital consciousness. Execute your project through weekly mentor check-ins and independent work (5-10 hours/week) to deliver output. Access connections to collaborators, organisations, and funding opportunities for your work.",,"AI safety & policy; Animal welfare; Fellowship; Research; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
3989ffffce4d,"80,000 Hours","Request for Proposals, Pathogen-Agnostic Biothreat Detection",https://blueprintbiosecurity.org/biosurveillance-rfp-2026/?utm_source=80000hours&utm_medium=job-board,2026-07-13,2026-08-21,Blueprint Biosecurity,https://blueprintbiosecurity.org/,"Blueprint Biosecurity is a nonprofit dedicated to achieving breakthroughs in humanity’s capability to prevent, mitigate, and suppress pandemics.","Blueprint Biosecurity requests expressions of interest from groups interested in work targeting human pathogens with pandemic potential. Technical focus areas for investigation are computational detection of known and novel pathogens, sample processing methods for more sensitive, sequencing-based detection and rapid validation of sequences of concern, and modeling pathogen-agnostic biosurveillance system features. They expect to make multiple awards across the three technical areas, with a combined total of up to $5 million across the entire RFP.","Up to $5,000,000","Biosecurity & pandemic preparedness; Funding; Research; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
8b456455218b,"80,000 Hours","Worldbuilding, AI Futures",https://www.udemy.com/course/worldbuilding-hopeful-futures-with-ai/?utm_source=80000hours&utm_medium=job-board,2026-07-13,,Foresight Institute,https://foresight.org/,The Foresight Institute is a San Francisco-based research nonprofit that promotes science and technology that is too early-stage or interdisciplinary for legacy institutions to support.,"This course teaches AI's potential. Participants design their own 2035 future scenario using expert foresight tools. Explore how AI and emerging technologies influence society, work, and daily life both positively and negatively. Learn worldbuilding and backcasting techniques to create realistic pathways to your envisioned future. This is a 1.5-hour self-paced course requiring no technical background.",,"AI safety & policy; Course; Other; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
697abcb2b8ca,"80,000 Hours; Probably Good; EA Opportunities Board",Grants and Operations Associate,https://www.givingwhatwecan.org/grants-ops-associate?utm_source=80000hours&utm_medium=job-board,2026-07-13,2026-08-03,Giving What We Can,https://www.givingwhatwecan.org/,"Giving What We Can is a nonprofit providing support, community and information for donors to do the most good with their charitable giving.","In this role, you'll run grantmaking operations end to end, moving tens of millions of dollars to charities accurately and securely. Own routine grantmaking processes including due diligence, compliance, onboarding and grant reporting. Coordinate grantee communications and serve as the first point of contact for supported programs. Build systems and tooling to increase efficiency, championing AI automation to improve organisational performance. Support legal compliance and general operations, including regulatory filings and donor due diligence.","£46,000 - £53,000; $65,000 - $76,000; €39,000 - €45,000; $71,000 - $81,000 CAD; 169,000 - 194,000 PLN","Building effective altruism; Full-time; Operations; Undergraduate degree or less; Junior (1-4 years experience); Remote, Global; Global; Remote; Animal Welfare; Community Building; Global Health & Development; Legal; Undergraduate Degree or Less; Mid (5–9y); Junior (1–4y); Full-Time; Other (pressing); Finance; Direct high impact on an important cause"
357c70821fb6,"80,000 Hours","eLearning Course, EU Non-Proliferation and Disarmament",https://nonproliferation-elearning.eu/?utm_source=80000hours&utm_medium=job-board,2026-07-13,,Peace Research Institute Frankfurt,https://www.prif.org/,The Peace Research Institute Frankfurt analyzes the causes of international and intrastate conflicts and researches ways to resolve them.,"This course covers the European Union's non-proliferation and disarmament agenda and provides comprehensive learning resources. Includes learning units on arms control, chemical and biological weapons, nuclear weapons, WMD-free zones, missiles and space security. Teaches the technical, strategic and political dimensions of weapons systems and international disarmament frameworks.",,"Nuclear security; Course; Policy; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
13facb6c18a5,"80,000 Hours",Trusted Red Team Network,https://www.syntonyresearch.ai/work/trusted-red-team/?utm_source=80000hours&utm_medium=job-board,2026-07-10,,Syntony,https://www.syntonyresearch.ai/,"Syntony supports frontier AI organizations, public institutions, and private organizations with safety research, governance design, adversarial evaluation, and risk advisory.","In this voluntary network, you'll be engaged to conduct project-based adversarial evaluations that directly inform governance and mitigation decisions. Perform specialist testing in ML security, prompt engineering, policy analysis, geopolitical forecasting, or systems thinking. Collaborate across disciplines on scoped engagements with defined threat models and evidence requirements. Translate technical findings into actionable controls and oversight artifacts. Demonstrate how findings drive real mitigation and oversight decisions.",Unpaid,"AI safety & policy; Full-time; Information security; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; Global; Remote"
32786de4e39d,"80,000 Hours; Probably Good","Contractor Opportunities, AI, Biosecurity, and AI-Bio",https://www.longtermresilience.org/open-call-for-contractor-opportunities-ai-biosecurity-and-ai-bio-work/?utm_source=80000hours&utm_medium=job-board,2026-07-09,,Centre for Long-Term Resilience,https://www.longtermresilience.org/,The Centre for Long-Term Resilience is an independent think tank focused on global resilience to extreme risks. They currently focus on artificial intelligence and biosecurity.,"In this role, you'll join a contractor pool available for discrete projects across AI and biosecurity policy units as opportunities arise. Work autonomously on bounded projects aligned with your expertise and experience. Communicate complex findings clearly to policy and applied audiences. Contribute to initiatives focused on reducing catastrophic risk from AI and biology. Engage across diverse specialist areas including technical development, policy research, and quantitative analysis.","£55,000 - £68,000","AI safety & policy; Biosecurity & pandemic preparedness; Full-time; Research; Policy; Software engineering; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote; Biosecurity; AI Safety & Policy; Data; Software Engineering; Information Security; Undergraduate Degree or Less; Mid (5–9y); Senior (10y+); Junior (1–4y); Entry-Level; Expression of Interest"
8c7fb60afba5,"80,000 Hours","Fund, Multi-Agent Safety",https://www.cooperativeai.com/calls-for-proposals/scaling-ai-safety-for-a-multi-agent-world?utm_source=80000hours&utm_medium=job-board,2026-07-09,2026-08-08,Cooperative AI Foundation,https://www.cooperativeai.com/,The Cooperative AI Foundation is a charitable entity. Their mission is to support research that will improve the cooperative intelligence of advanced AI for the benefit of all.,"$10m fund to support the foundational scientific research needed to understand, evaluate, and control risks emerging from large-scale ecosystems of interacting AI agents, deployed by multiple actors. Understand, evaluate, and control risks from ecosystems of interacting AI agents deployed by multiple actors. Develop methods to analyse emergent collective dynamics, build trustworthy agent infrastructure, and create monitoring approaches. Address system-level safety gaps including collusion, conflict, destabilising dynamics, emergent agency, and security vulnerabilities.",,"AI safety & policy; Funding; Research; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
c55d43ad680c,"80,000 Hours",Futurekind AI Fellowship (Summer 2026),https://www.electricsheep.is/futurekind?utm_source=80000hours&utm_medium=job-board,2026-07-08,2026-08-05,Electric Sheep,https://www.electricsheep.is/,"Electric Sheep is a collective whose mission is to empower innovators to build AI that minimizes harm and nurtures the planet, supporting ecosystems, animals, and all sentient life. They provide immersive learning and accelerator programs.","In this role, you'll complete a 12-week journey exploring AI applications for animal protection, progressing from immersion to specialisation to project work. Engage in weekly facilitated discussions and complete readings and pre-session exercises. Select a specialisation track—Builder (coding), Researcher (policy), or Career-Developer (advocacy). Create a final project advancing animal protection using AI with expert mentorship and platform access. Attend optional workshops, webinars and QandAs with senior researchers and practitioners.",,"AI safety & policy; Animal welfare; Fellowship; Research; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
